,Unnamed: 0,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema,ema_slow,sell,buy,moving_avg,trend_change,TriggerSell,TriggerBuy
55,35,202409180850,1.11319,1.1129,1.11314,1.1131,872,m5,1,,,1.1130529506936089,1.1127062888114807,1,0,1.1130740000000006,0,0,0
56,36,202409180855,1.1132799999999998,1.11291,1.11294,1.11314,667,m5,1,,,1.113032401951248,1.1127181545012248,1,0,1.1130440000000006,0,0,0
57,13,202409180900,1.11312,1.11268,1.11309,1.11294,2216,m15,1,,,1.1128339722704117,1.1125972780642743,0,1,1.1130420000000005,0,0,0
58,37,202409180900,1.11306,1.11278,1.1128799999999999,1.11294,663,m5,1,,,1.1130046789806969,1.1127262776533442,1,0,1.1129980000000004,0,0,0
59,7,202409180900,1.1136700000000002,1.11268,1.11332,1.11294,4700,m30,1,,,1.1128204151391237,1.1126528665566895,0,1,1.1130740000000003,0,0,0
60,38,202409180905,1.1128799999999999,1.11268,1.1127200000000002,1.1128799999999999,838,m5,1,1.0,,1.1129528984975112,1.1127259659935114,-1,1,1.1129900000000004,-1,0,0
61,39,202409180910,1.11312,1.11271,1.11309,1.1127200000000002,715,m5,1,,,1.1129778341869792,1.112743852236621,0,1,1.1130200000000001,0,0,0
62,14,202409180915,1.1136700000000002,1.11306,1.11332,1.11309,2484,m15,1,,,1.1129269223364435,1.112660088368636,0,1,1.1130660000000003,0,0,0
63,40,202409180915,1.11348,1.11306,1.1132600000000001,1.11309,945,m5,1,,,1.1130291507740662,1.1127689633065043,0,1,1.1131420000000003,0,0,0
64,41,202409180920,1.11362,1.1132,1.11353,1.1132600000000001,818,m5,1,,,1.1131202341824704,1.1128056423751078,0,1,1.1131840000000004,0,0,0
65,42,202409180925,1.1136700000000002,1.1133,1.11332,1.11353,721,m5,1,,,1.1131565617381871,1.1128302118067481,0,1,1.1133040000000003,0,0,0
66,43,202409180930,1.11358,1.1132799999999998,1.11341,1.11332,712,m5,1,,,1.1132026481668946,1.1128576718491021,0,1,1.1133680000000004,0,0,0
67,15,202409180930,1.11378,1.1132799999999998,1.11366,1.11332,2150,m15,1,,,1.1130658101287856,1.1127430328568495,0,1,1.1134360000000005,0,0,0
68,8,202409180930,1.11398,1.1132799999999998,1.1138,1.11332,4442,m30,1,,1.0,1.1130335385249959,1.11280164961774,1,-1,1.1135440000000003,1,0,0
69,44,202409180935,1.11369,1.1134,1.11366,1.11341,710,m5,1,,,1.113285813003864,1.112895364806601,0,1,1.1135700000000004,0,0,0
70,45,202409180940,1.11378,1.11342,1.11366,1.11366,728,m5,1,,,1.1133538536690868,1.1129310102250467,0,1,1.1136380000000003,0,0,0
71,46,202409180945,1.11391,1.11366,1.1139,1.11366,744,m5,1,,,1.1134531609621603,1.1129758502534457,0,1,1.1137360000000005,0,0,0
72,16,202409180945,1.11398,1.11366,1.1138,1.11366,2292,m15,1,,1.0,1.1132038539400877,1.1128270362212662,1,-1,1.1137640000000002,1,0,0
73,47,202409180950,1.11398,1.1138,1.1139,1.1139,942,m5,1,,,1.1135344097521287,1.1130183155314175,0,1,1.1137840000000003,0,0,0
74,48,202409180955,1.11392,1.11368,1.1138,1.1139,606,m5,1,,,1.113582701479384,1.1130539941437938,0,1,1.1138120000000002,0,0,0
75,49,202409181000,1.1138700000000001,1.11368,1.11374,1.1138,524,m5,1,,,1.1136113024660654,1.1130851057029918,0,1,1.1138280000000003,0,0,0
