,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,trend,trend_line,ema_short,ema_long,rsi,buy,sell
460,202507021955,1.18032,1.18004,1.18024,1.18004,635,m5,1,,1.0,1,1.1799079999999975,1.1798909054146034,1.1797876848680289,64.63414634146375,0,0
461,202507022000,1.18025,1.1798899999999999,1.17994,1.18024,498,m5,1,,,1,1.1799319999999975,1.1798998317028573,1.1798021910710739,54.63917525773361,0,0
462,202507022005,1.17997,1.17956,1.17966,1.17994,467,m5,1,1.0,,1,1.1799299999999975,1.1798562259387015,1.179788649064305,42.85714285713973,1,-1
463,202507022010,1.17996,1.17957,1.17988,1.17966,577,m5,1,,,1,1.1799519999999977,1.179860548495301,1.1797973491534188,50.697674418604024,0,0
464,202507022015,1.1798899999999999,1.17969,1.1797,1.17988,262,m5,1,,,1,1.1798839999999977,1.1798313578597919,1.1797880778054741,49.54545454545661,0,0
465,202507022020,1.17985,1.1797,1.17983,1.1797,147,m5,1,,,1,1.1798019999999976,1.1798311109761932,1.1797920703954292,52.15517241379298,0,0
466,202507022025,1.17985,1.1796,1.1797,1.17983,285,m5,1,,,1,1.1797539999999977,1.1798072726168853,1.1797833017863406,48.11715481171699,0,0
467,202507022030,1.17975,1.17962,1.17968,1.1797,272,m5,1,,,1,1.1797579999999976,1.179784132141088,1.1797734635209747,50.218340611355146,0,0
468,202507022035,1.17968,1.17955,1.1796,1.17968,153,m5,1,1.0,,-1,1.1797019999999976,1.179750653569981,1.1797569431856438,47.863247863248105,0,0
469,202507022040,1.17968,1.17959,1.17966,1.1796,147,m5,1,,,-1,1.1796939999999978,1.1797341711027118,1.1797477105012968,44.545454545454085,0,0
470,202507022045,1.17968,1.17962,1.17966,1.17966,110,m5,1,,,-1,1.179659999999998,1.1797206854476734,1.1797393571202208,46.22641509433607,0,0
471,202507022050,1.17969,1.17958,1.17963,1.17966,143,m5,1,,,-1,1.1796459999999978,1.1797041971844602,1.1797289421563903,48.999999999999,0,0
472,202507022055,1.17995,1.17961,1.17986,1.17963,742,m5,1,,1.0,-1,1.1796819999999977,1.1797325249691037,1.1797414238557817,52.11267605633627,-1,1
473,202507022100,1.17986,1.17941,1.17961,1.17986,23,m5,1,,,-1,1.1796839999999977,1.179710247701994,1.1797289072980883,39.81042654028521,0,0
474,202507022105,1.17966,1.17937,1.17966,1.17961,19,m5,1,,,-1,1.1796839999999977,1.1797011117561769,1.1797223446982703,35.20408163265046,0,0
475,202507022110,1.17966,1.17962,1.17963,1.17966,24,m5,1,,,-1,1.1796779999999978,1.179688182345963,1.1797135499651017,40.828402366861575,0,0
476,202507022115,1.1798,1.17947,1.17974,1.17963,70,m5,1,,,-1,1.1796999999999975,1.1796976037376061,1.1797160690160444,52.6315789473715,0,0
477,202507022120,1.17976,1.17958,1.17958,1.17974,87,m5,1,,,-1,1.1796439999999975,1.1796762212398595,1.1797031100621356,39.7260273972584,0,0
478,202507022125,1.17958,1.17955,1.17955,1.17958,45,m5,1,,,-1,1.1796319999999976,1.1796532719235215,1.179688528151456,44.27480916030793,0,0
479,202507022130,1.17955,1.1793,1.1793,1.17955,82,m5,1,,,-1,1.1795599999999975,1.1795890406646994,1.179651525470365,31.46853146852908,0,0
480,202507022135,1.17933,1.17922,1.17926,1.1793,132,m5,1,,,-1,1.1794859999999976,1.1795292150892995,1.1796142373303302,33.582089552234976,0,0
481,202507022140,1.17935,1.17919,1.1792,1.17926,115,m5,1,,,-1,1.1793779999999976,1.179469357800336,1.179574786156013,32.60869565216902,0,0
482,202507022145,1.17926,1.1791,1.1791099999999999,1.1792,202,m5,1,,,-1,1.1792839999999973,1.1794040200184566,1.1795305208078213,32.37410071941801,0,0
483,202507022150,1.17914,1.17876,1.17879,1.1791099999999999,213,m5,1,1.0,,-1,1.1791319999999974,1.179292380015101,1.1794599950166003,23.636363636361196,1,-1
484,202507022155,1.17966,1.17878,1.17949,1.17879,171,m5,1,,,-1,1.1791699999999974,1.1793283109214463,1.1794628526340667,46.38297872340361,0,0
485,202507022200,1.1799,1.17937,1.17969,1.17949,246,m5,1,,,-1,1.1792559999999974,1.1793940725720924,1.1794844857165367,51.190476190475344,0,0
486,202507022205,1.18002,1.17969,1.17991,1.17969,176,m5,1,,,-1,1.1793979999999973,1.1794878775589848,1.1795250108863904,50.996015936257166,0,0
487,202507022210,1.18,1.17976,1.17998,1.17991,219,m5,1,,1.0,1,1.1795719999999974,1.179577354366442,1.1795683431829247,57.939914163089924,-1,1
