,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema_10,ema_18,peaks_min_ema_10,peaks_max_ema_10,peaks_min_ema_18,peaks_max_ema_18,trade_open_zone,centro_picos_max_suave,centro_picos_min_suave,centro_picos_max_trend,centro_picos_min_trend,signal,last_min_trend_marker,last_max_trend_marker
498,202507140620,96.706,96.644,96.706,96.66000000000001,1319,m5,1,0,0,96.69646891633423,96.7043387612616,0,0,0,0,0,96.90916292306889,96.54680413625292,,,0,,
499,202507140625,96.71900000000001,96.66000000000001,96.686,96.706,879,m5,1,0,0,96.69456547700074,96.70240836533932,0,0,0,0,0,96.90929136913257,96.54691849148406,,,0,,
500,202507140630,96.686,96.59,96.60900000000001,96.686,1114,m5,1,0,0,96.67900811754605,96.69257590582993,0,0,0,0,0,96.90942992343851,96.54703284671521,,,0,,
501,202507140635,96.647,96.59,96.64,96.60900000000001,838,m5,1,0,0,96.67191573253766,96.68704159995309,0,0,0,0,0,96.9095785859867,96.54714720194636,,,0,,
502,202507140640,96.653,96.596,96.60300000000001,96.64,988,m5,1,0,0,96.659385599349,96.6781951157475,0,0,0,0,0,96.90973735677711,96.54726155717749,,,0,,
503,202507140645,96.671,96.593,96.67,96.60300000000001,1081,m5,1,0,0,96.66131549037644,96.6773324719846,0,0,0,0,0,96.9099062358098,96.54737591240864,,,0,,
504,202507140650,96.673,96.584,96.584,96.67,1080,m5,1,0,0,96.64725812848981,96.66750800124939,0,0,0,0,0,96.91008522308474,96.54749026763979,,,0,,
505,202507140655,96.616,96.563,96.60300000000001,96.584,789,m5,1,0,0,96.63921119603711,96.6607176853284,0,0,0,0,0,96.91027431860194,96.54760462287094,,,0,,
506,202507140700,96.622,96.561,96.60000000000001,96.60300000000001,1449,m5,1,0,0,96.63208188766671,96.65432635003066,0,0,0,0,0,96.91047352236137,96.54771897810207,,,0,,
507,202507140705,96.64500000000001,96.592,96.599,96.60000000000001,1321,m5,1,0,0,96.62606699900003,96.64850252371164,0,0,0,0,0,96.91068283436306,96.54783333333322,,,0,,
508,202507140710,96.65,96.596,96.629,96.599,1454,m5,1,0,0,96.62660027190911,96.64644962647884,0,0,0,0,0,96.910902254607,96.54794768856436,,,0,,
509,202507140715,96.63900000000001,96.589,96.626,96.629,1118,m5,1,0,0,96.626491131562,96.6442970342179,0,0,0,0,0,96.91113178309318,96.54806204379551,,,0,,
510,202507140720,96.66600000000001,96.62400000000001,96.649,96.626,1005,m5,1,0,0,96.63058365309618,96.6447920832476,0,0,0,0,0,96.91137141982165,96.54817639902666,,,0,,
511,202507140725,96.68900000000001,96.632,96.679,96.649,801,m5,1,0,0,96.63938662526051,96.64839291658994,0,0,0,0,0,96.91162116479232,96.54829075425779,,,0,,
512,202507140730,96.729,96.674,96.703,96.679,1294,m5,1,0,0,96.65095269339496,96.65414103063311,0,0,0,0,0,96.91188101800526,96.54840510948894,,,0,,
513,202507140735,96.747,96.703,96.715,96.703,976,m5,1,0,0,96.66259765823224,96.66054723793489,0,0,0,0,0,96.91215097946046,96.54851946472009,,,0,,
514,202507140740,96.747,96.68700000000001,96.72800000000001,96.715,982,m5,1,0,0,96.6744889930991,96.6676475286786,0,0,0,0,0,96.91243104915792,96.54863381995123,,,0,,
515,202507140745,96.75500000000001,96.723,96.754,96.72800000000001,928,m5,1,0,0,96.68894553980836,96.67673726250192,0,0,0,0,0,96.91272122709762,96.54874817518237,,,0,,
516,202507140750,96.82900000000001,96.753,96.804,96.754,1537,m5,1,0,0,96.70986453257046,96.6901333401333,0,0,0,0,0,96.91302151327956,96.54886253041352,,,0,,
517,202507140755,96.86800000000001,96.802,96.858,96.804,2046,m5,1,0,1,96.7367982539213,96.70780351485611,0,0,0,0,1,96.91333190770376,96.54897688564466,1.0,,0,,
518,202507140800,96.87100000000001,96.831,96.836,96.858,1391,m5,1,0,0,96.75483493502651,96.72129788171335,0,0,0,0,0,96.91365241037022,96.54909124087581,,,0,,
519,202507140805,96.83800000000001,96.757,96.762,96.836,1318,m5,1,0,0,96.75613767411258,96.72558231521721,0,0,0,0,0,96.91398302127892,96.54920559610694,,,0,,
520,202507140810,96.774,96.74300000000001,96.759,96.762,1099,m5,1,0,0,96.75665809700119,96.72909996624698,0,0,0,0,0,96.9143237404299,96.54931995133809,,,0,,
521,202507140815,96.798,96.74900000000001,96.78800000000001,96.759,915,m5,1,0,0,96.76235662481915,96.73529996979993,0,0,0,0,0,96.9146745678231,96.54943430656924,,,0,,
522,202507140820,96.81200000000001,96.769,96.807,96.78800000000001,1169,m5,1,0,0,96.77047360212475,96.74284734139994,0,0,0,0,0,96.91503550345855,96.54954866180039,,,0,,
523,202507140825,96.82100000000001,96.793,96.80000000000001,96.807,998,m5,1,0,0,96.77584203810207,96.74886341072626,0,0,0,0,0,96.91540654733626,96.54966301703152,,,0,,
524,202507140830,96.822,96.787,96.792,96.80000000000001,1126,m5,1,0,0,96.77877984935624,96.75340410433402,0,0,0,0,0,96.91578769945623,96.54977737226267,,,0,,
525,202507140835,96.831,96.78,96.83,96.792,950,m5,1,0,0,96.78809260401874,96.7614668301936,0,1,0,0,0,96.91617895981847,96.54989172749382,,,0,,
526,202507140840,96.83,96.787,96.78800000000001,96.83,858,m5,1,0,0,96.78807576692442,96.76425979543637,0,0,0,1,0,96.91658032842291,96.55000608272496,,,0,,
527,202507140845,96.792,96.718,96.724,96.78800000000001,1051,m5,1,0,0,96.7764256274836,96.76002192223255,0,0,0,0,0,96.91699180526963,96.5501204379561,,,0,,
528,202507140850,96.74600000000001,96.711,96.718,96.724,913,m5,1,0,0,96.76580278612295,96.75559856199754,0,0,0,0,0,96.9174133903586,96.55023479318724,,,0,,
529,202507140855,96.736,96.703,96.726,96.718,922,m5,1,0,0,96.75856591591877,96.75248292389254,0,0,0,0,0,96.91784508368983,96.55034914841839,,,0,,
530,202507140900,96.735,96.68400000000001,96.721,96.726,864,m5,1,0,0,96.75173574938808,96.74916893190385,0,0,0,0,0,96.91828688526331,96.55046350364954,,,0,,
531,202507140905,96.729,96.67800000000001,96.683,96.721,762,m5,1,0,0,96.73923834040842,96.74220378117712,0,0,0,0,0,96.91873879507902,96.55057785888067,,,0,,
532,202507140910,96.71300000000001,96.68100000000001,96.7,96.683,855,m5,1,0,0,96.73210409669778,96.73776127789532,0,0,0,0,0,96.919200813137,96.55069221411182,,,0,,
533,202507140915,96.715,96.69300000000001,96.714,96.7,861,m5,1,0,0,96.72881244275273,96.73526009074844,0,0,0,0,0,96.91967293943722,96.55080656934297,,,0,,
534,202507140920,96.717,96.676,96.70100000000001,96.714,979,m5,1,0,0,96.72375563497951,96.73165376540649,0,0,0,0,0,96.92015517397971,96.55092092457411,,,0,,
535,202507140925,96.714,96.67,96.688,96.70100000000001,895,m5,1,0,0,96.71725461043778,96.7270586322058,0,0,0,0,0,96.92064751676446,96.55103527980526,,,0,,
536,202507140930,96.69300000000001,96.66000000000001,96.682,96.688,1079,m5,1,0,0,96.71084468126728,96.7223156182894,0,0,0,0,0,96.92114996779142,96.5511496350364,,,0,,
537,202507140935,96.699,96.673,96.677,96.682,840,m5,1,0,0,96.70469110285504,96.7175455532063,0,0,0,0,0,96.92166252706065,96.55126399026754,,,0,,
538,202507140940,96.71300000000001,96.677,96.702,96.677,825,m5,1,0,0,96.70420181142684,96.71590917918459,0,0,0,0,0,96.92218519457214,96.55137834549869,,,0,,
539,202507140945,96.753,96.702,96.753,96.702,491,m5,1,0,0,96.71307420934923,96.71981347611252,0,0,0,0,0,96.92271797032589,96.55149270072984,,,0,,
540,202507140950,96.759,96.72,96.72,96.753,893,m5,1,0,0,96.714333444013,96.71983311020594,0,0,0,0,0,96.92326085432188,96.55160705596097,,,0,,
