,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema30,ema50,ema100,buy,sell
62,202507021130,1.60437,1.60368,1.6039700000000001,1.6041,2974,m15,1,,,1.6070353448471102,1.607691764679887,1.6082695156035032,0,0
63,202507021145,1.6044100000000001,1.60271,1.6031,1.6039700000000001,4576,m15,1,1.0,,1.6067778450109138,1.6074966146002185,1.60812772855051,0,-1
64,202507021200,1.6044100000000001,1.60305,1.60383,1.6031,5502,m15,1,,,1.606585136465573,1.6073412935410292,1.608010744532187,0,0
65,202507021215,1.6065800000000001,1.60352,1.60538,1.60383,8413,m15,1,,,1.6065064208825601,1.6072584718913048,1.6079396630409486,0,0
66,202507021230,1.6063100000000001,1.6049,1.6055000000000001,1.60538,7147,m15,1,,,1.6064407373401044,1.6071844380280471,1.6078742168439981,0,0
67,202507021245,1.6058000000000001,1.6039700000000001,1.6044500000000002,1.6055000000000001,6521,m15,1,,,1.6063109100464192,1.6070696460108687,1.607782999791729,0,0
68,202507021300,1.60556,1.60393,1.60549,1.6044500000000002,6400,m15,1,,,1.6062574112629724,1.6070035151069981,1.6077223317890386,0,0
69,202507021315,1.6055000000000001,1.60388,1.60463,1.60549,4263,m15,1,,,1.6061514220339066,1.6069044118584475,1.6076410560912007,0,0
70,202507021330,1.6060400000000001,1.6041400000000001,1.60583,1.60463,4938,m15,1,,1.0,1.6061305014102791,1.606859664665563,1.6075937626471117,0,1
71,202507021345,1.60612,1.6045500000000001,1.60477,1.60583,5998,m15,1,,,1.6060420000767013,1.6067728453197805,1.607520486152928,0,0
72,202507021400,1.6054300000000001,1.60416,1.6041800000000002,1.60477,5435,m15,1,,,1.6059209406845165,1.6066653708749306,1.6074343303934235,0,0
73,202507021415,1.6053300000000001,1.60362,1.6045500000000001,1.6041800000000002,4455,m15,1,,,1.605831852416288,1.606577883439473,1.6073603824262561,0,0
74,202507021430,1.60497,1.6038000000000001,1.60417,1.6045500000000001,4557,m15,1,1.0,,1.6057239101687428,1.6064785111626458,1.6072790625202562,0,-1
75,202507021445,1.6047900000000002,1.60269,1.60444,1.60417,6295,m15,1,,,1.605640552805855,1.6063945551497136,1.60720710665472,0,0
76,202507021500,1.60588,1.6042800000000002,1.6058400000000002,1.60444,4743,m15,1,,,1.6056534965492832,1.6063717607033665,1.6071726484209221,0,0
77,202507021515,1.6062800000000002,1.60491,1.60538,1.6058400000000002,4126,m15,1,,,1.605635753920717,1.606331072184427,1.6071277071390817,0,0
78,202507021530,1.6063100000000001,1.60531,1.60629,1.60538,3747,m15,1,,1.0,1.6056781818797639,1.6063293901803248,1.6071068160643713,0,1
79,202507021545,1.60647,1.6052300000000002,1.6055700000000002,1.60629,3264,m15,1,,,1.6056711686108,1.6062983452535597,1.6070686861835082,0,0
80,202507021600,1.60602,1.60512,1.6052,1.6055700000000002,4476,m15,1,,,1.6056406329950708,1.6062535180408601,1.607022553364943,0,0
81,202507021615,1.60556,1.60484,1.60504,1.6052,4073,m15,1,,,1.6056017183864315,1.6062040692396418,1.6069738474171658,0,0
82,202507021630,1.6053,1.6039,1.60426,1.60504,3634,m15,1,,,1.6055148130951713,1.606124972940917,1.6069074917668222,0,0
83,202507021645,1.60427,1.6035700000000002,1.60366,1.60426,3369,m15,1,,,1.6053947045098615,1.6060248304172835,1.606828455525548,0,0
84,202507021700,1.6044100000000001,1.60363,1.60436,1.60366,3871,m15,1,,,1.6053277181352097,1.605957289924695,1.6067686504319898,0,0
85,202507021715,1.6044,1.60344,1.6038000000000001,1.60436,3122,m15,1,,,1.605228836345796,1.6058698891261187,1.6066970436615438,0,0
86,202507021730,1.60419,1.60372,1.60379,1.6038000000000001,2285,m15,1,,,1.6051357269058306,1.6057857334305439,1.6066272244564725,0,0
87,202507021745,1.60415,1.6035000000000001,1.60355,1.60379,2361,m15,1,,,1.6050331319958604,1.6056953845902298,1.606553628204408,0,0
88,202507021800,1.6036000000000001,1.60325,1.60351,1.60355,2398,m15,1,,,1.6049346049281432,1.6056071758722095,1.6064811337306188,0,0
89,202507021815,1.60366,1.60322,1.60348,1.60351,2471,m15,1,,,1.604840526770454,1.6055214150298882,1.6064099373661662,0,0
90,202507021830,1.60379,1.60338,1.60341,1.60348,2616,m15,1,,,1.6047480206910956,1.6054363832400858,1.6063390473554673,0,0
91,202507021845,1.60393,1.60315,1.60386,1.60341,3460,m15,1,,1.0,1.6046906047618679,1.6053729654900388,1.6062806896579838,0,0
