,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema30,ema50,ema100,buy,sell
90,202507021830,1.17999,1.17974,1.17997,1.1798,1832,m15,1,,,1.1783776705509088,1.1782177967528373,1.1783208733572057,0,0
91,202507021845,1.17999,1.17955,1.17995,1.17997,2397,m15,1,,,1.1784793311960686,1.178287483127169,1.1783592236047604,0,0
92,202507021900,1.17998,1.17969,1.17973,1.17995,1533,m15,1,,,1.1785601832129566,1.178345456647898,1.1783913720079922,0,0
93,202507021915,1.17988,1.17951,1.1797,1.17973,1496,m15,1,,,1.1786338593329113,1.1783998416463999,1.1784219512274983,0,0
94,202507021930,1.17995,1.17963,1.17967,1.1797,1628,m15,1,,,1.1787008257783738,1.1784507909762698,1.1784510112579178,0,0
95,202507021945,1.18032,1.17965,1.18024,1.17967,1623,m15,1,,1.0,1.1788002922187006,1.1785224964559318,1.1784925221779414,0,0
96,202507022000,1.18025,1.17956,1.17988,1.18024,1542,m15,1,,,1.1788700589709713,1.1785768538330155,1.1785246074715476,0,0
97,202507022015,1.1798899999999999,1.1796,1.1797,1.17988,694,m15,1,,,1.1789236813399113,1.1786217898954225,1.1785516982919935,0,0
98,202507022030,1.17975,1.17955,1.17966,1.1797,572,m15,1,,,1.178971250322823,1.178663294812396,1.1785771601241921,0,0
99,202507022045,1.17995,1.17958,1.17986,1.17966,995,m15,1,,,1.1790286618952786,1.1787110995346661,1.1786065385691034,0,0
100,202507022100,1.17986,1.17937,1.17963,1.17986,66,m15,1,,,1.1790675040305854,1.1787477799825112,1.1786299045482023,0,0
101,202507022115,1.1798,1.17947,1.17955,1.17963,202,m15,1,,,1.1790986674244557,1.178779780341695,1.1786508472240877,0,0
102,202507022130,1.17955,1.17919,1.1792,1.17955,329,m15,1,1.0,,1.179105211811531,1.1787965315090858,1.1786633098368848,1,-1
103,202507022145,1.17966,1.17876,1.17949,1.1792,586,m15,1,,,1.1791300610154576,1.1788241572835954,1.178682016847945,0,0
104,202507022200,1.18002,1.17937,1.17998,1.17949,641,m15,1,,1.0,1.1791849457073413,1.1788701741114092,1.1787113058615413,-1,0
105,202507022215,1.18001,1.1797199999999999,1.17994,1.17998,533,m15,1,,,1.1792337003699616,1.1789127410075941,1.1787389549717315,0,0
106,202507022230,1.17997,1.1798,1.17983,1.17994,301,m15,1,,,1.1792722019590864,1.1789492165793598,1.1787634404538236,0,0
107,202507022245,1.17998,1.17967,1.17983,1.17983,350,m15,1,,,1.1793082157451977,1.1789842224109859,1.1787873133966236,0,0
108,202507022300,1.17998,1.1797199999999999,1.17997,1.17983,436,m15,1,,,1.1793509412643646,1.1790233804412729,1.1788137174737163,0,0
109,202507022315,1.18001,1.1799,1.17996,1.17997,419,m15,1,,,1.1793902609978093,1.1790605669030487,1.1788392443935145,0,0
110,202507022330,1.18002,1.17988,1.17998,1.17996,588,m15,1,,,1.1794283318825687,1.1790970532387246,1.1788645857072741,0,0
111,202507022345,1.18023,1.1798,1.17986,1.17998,1091,m15,1,,,1.1794561973288307,1.1791273154892894,1.1788866451178979,0,0
