timestamp,trade_id,instrument,side,open_price,current_price,current_pips,max_pips,action,details
2025-09-25T08:01:00.707280+01:00,69090536,USD/JPY,B,148.805,148.802,-0.3,-0.3,NEW_HIGH,New pip high reached: -0.3 (previous max: -1.2)
2025-09-25T08:02:00.217978+01:00,69090538,GBP/USD,S,1.34591,1.34627,-3.6,-1.1,MONITOR,"Monitoring - Current: -3.6, Max: -1.1"
2025-09-25T08:02:00.217978+01:00,69090536,USD/JPY,B,148.805,148.79999999999998,-0.5,-0.3,DECLINING,"Pips declining: -0.5 (max was: -0.3, declining count: 1)"
2025-09-25T08:03:00.685603+01:00,69090538,GBP/USD,S,1.34591,1.3461,-1.9,-1.1,MONITOR,"Monitoring - Current: -1.9, Max: -1.1"
2025-09-25T08:03:00.686600+01:00,69090536,USD/JPY,B,148.805,148.78,-2.5,-0.3,DECLINING,"Pips declining: -2.5 (max was: -0.3, declining count: 2)"
2025-09-25T08:04:00.238074+01:00,69090538,GBP/USD,S,1.34591,1.34607,-1.6,-1.1,MONITOR,"Monitoring - Current: -1.6, Max: -1.1"
2025-09-25T08:04:00.239078+01:00,69090536,USD/JPY,B,148.805,148.761,-4.4,-0.3,DECLINING,"Pips declining: -4.4 (max was: -0.3, declining count: 3)"
2025-09-25T08:05:00.730058+01:00,69090538,GBP/USD,S,1.34591,1.3461,-1.9,-1.1,DECLINING,"Pips declining: -1.9 (max was: -1.1, declining count: 1)"
2025-09-25T08:05:00.732078+01:00,69090536,USD/JPY,B,148.805,148.756,-4.9,-0.3,DECLINING,"Pips declining: -4.9 (max was: -0.3, declining count: 4)"
2025-09-25T08:06:00.237337+01:00,69090538,GBP/USD,S,1.34591,1.34622,-3.1,-1.1,DECLINING,"Pips declining: -3.1 (max was: -1.1, declining count: 2)"
2025-09-25T08:06:00.240795+01:00,69090536,USD/JPY,B,148.805,148.743,-6.2,-0.3,DECLINING,"Pips declining: -6.2 (max was: -0.3, declining count: 5)"
2025-09-25T08:07:00.713178+01:00,69090538,GBP/USD,S,1.34591,1.34629,-3.8,-1.1,DECLINING,"Pips declining: -3.8 (max was: -1.1, declining count: 3)"
2025-09-25T08:07:00.715166+01:00,69090536,USD/JPY,B,148.805,148.757,-4.8,-0.3,MONITOR,"Monitoring - Current: -4.8, Max: -0.3"
2025-09-25T08:08:00.242139+01:00,69090538,GBP/USD,S,1.34591,1.34609,-1.8,-1.1,MONITOR,"Monitoring - Current: -1.8, Max: -1.1"
2025-09-25T08:08:00.243511+01:00,69090536,USD/JPY,B,148.805,148.757,-4.8,-0.3,MONITOR,"Monitoring - Current: -4.8, Max: -0.3"
2025-09-25T08:09:00.729855+01:00,69090538,GBP/USD,S,1.34591,1.3462,-2.9,-1.1,DECLINING,"Pips declining: -2.9 (max was: -1.1, declining count: 1)"
2025-09-25T08:09:00.730857+01:00,69090536,USD/JPY,B,148.805,148.751,-5.4,-0.3,DECLINING,"Pips declining: -5.4 (max was: -0.3, declining count: 1)"
2025-09-25T08:10:00.279657+01:00,69090538,GBP/USD,S,1.34591,1.346,-0.9,-0.9,NEW_HIGH,New pip high reached: -0.9 (previous max: -1.1)
2025-09-25T08:10:00.281837+01:00,69090536,USD/JPY,B,148.805,148.765,-4.0,-0.3,MONITOR,"Monitoring - Current: -4.0, Max: -0.3"
2025-09-25T08:11:00.821337+01:00,69090538,GBP/USD,S,1.34591,1.34575,1.6,1.6,NEW_HIGH,New pip high reached: 1.6 (previous max: -0.9)
