timestamp,instrument,timeframe,action,side,price,signal_date,details
2025-09-25T02:33:04.279271+01:00,USD/JPY,m1,OPEN,S,148.744,202509250128,SELL signal
2025-09-25T02:33:05.496493+01:00,GBP/USD,m1,OPEN,B,1.34495,202509250130,BUY signal
2025-09-25T02:34:04.567027+01:00,USD/JPY,m1,OPEN,S,148.744,202509250128,SELL signal
2025-09-25T02:35:04.091967+01:00,USD/JPY,m1,OPEN,S,148.744,202509250128,SELL signal
2025-09-25T02:35:06.804533+01:00,GBP/USD,m1,OPEN,B,1.34495,202509250130,BUY signal
2025-09-25T02:36:05.788267+01:00,GBP/USD,m1,OPEN,B,1.34495,202509250130,BUY signal
2025-09-25T02:37:05.148483+01:00,GBP/USD,m1,OPEN,B,1.34495,202509250130,BUY signal
2025-09-25T03:53:26.378630+01:00,EUR/USD,m1,OPEN,B,,2025-09-24 22:53:26.375474,TEST BUY signal - manual test
2025-09-25T04:00:12.128333+01:00,GBP/USD,m1,OPEN,S,,2025-09-24 23:00:12.126340,TEST SELL signal - manual test 2
2025-09-25T04:01:02.050808+01:00,EUR/USD,m1,CLOSE,S,,,TradeID=69090437
2025-09-25T04:05:04.536783+01:00,USD/JPY,m1,OPEN,S,148.774,202509250302,SELL signal
2025-12-10T15:22:17.349837+00:00,GBP/USD,m1,OPEN,B,1.33225,202512101520,BUY signal
2025-12-10T15:41:11.633402+00:00,EUR/USD,m1,OPEN,B,1.16373,202512101539,BUY signal
2025-12-10T15:57:16.960516+00:00,USD/JPY,m1,OPEN,S,156.524,202512101555,SELL signal
2025-12-10T16:15:16.669083+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69135897
2025-12-10T16:15:16.671910+00:00,GBP/USD,m1,OPEN,S,1.3325,202512101613,SELL signal
2025-12-10T16:15:16.680579+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69135897
2025-12-10T16:28:11.313596+00:00,GBP/USD,m1,OPEN,S,1.33354,202512101626,SELL signal
2025-12-10T18:37:05.951871+00:00,GBP/USD,m1,OPEN,B,1.33385,202512101834,BUY signal
2025-12-10T19:01:16.934109+00:00,GBP/USD,m1,OPEN,B,1.33315,202512101858,BUY signal
2025-12-10T19:02:11.562447+00:00,USD/JPY,m1,OPEN,B,156.167,202512101900,BUY signal
2025-12-10T19:43:11.380836+00:00,EUR/USD,m1,OPEN,B,1.16507,202512101940,BUY signal
2025-12-10T19:43:16.828857+00:00,USD/JPY,m1,OPEN,S,156.617,202512101941,SELL signal
2025-12-10T19:45:17.251374+00:00,GBP/USD,m1,OPEN,B,1.3327499999999999,202512101943,BUY signal
2025-12-10T20:11:11.635266+00:00,USD/JPY,m1,OPEN,B,155.869,202512102009,BUY signal
2025-12-10T20:18:16.725258+00:00,USD/JPY,m1,OPEN,B,155.803,202512102016,BUY signal
2025-12-10T21:34:11.973816+00:00,GBP/USD,m1,OPEN,B,1.33803,202512102132,BUY signal
2025-12-10T21:34:17.479582+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136360
2025-12-10T21:34:17.481946+00:00,USD/JPY,m1,OPEN,S,156.078,202512102132,SELL signal
2025-12-10T21:34:17.489282+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136360
2025-12-10T22:08:16.828982+00:00,EUR/USD,m1,OPEN,B,1.16874,202512102205,BUY signal
2025-12-11T01:01:38.779641+00:00,USD/JPY,m1,OPEN,S,155.87699999999998,202512110056,SELL signal
2025-12-11T02:00:11.353454+00:00,GBP/USD,m1,OPEN,B,1.33803,202512110158,BUY signal
2025-12-11T02:00:16.646272+00:00,USD/JPY,m1,OPEN,S,155.733,202512110158,SELL signal
2025-12-11T02:01:11.650562+00:00,EUR/USD,m1,OPEN,B,1.17003,202512110158,BUY signal
2025-12-11T03:41:16.950785+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69136505
2025-12-11T03:41:16.954785+00:00,USD/JPY,m1,OPEN,B,155.65099999999998,202512110339,BUY signal
2025-12-11T03:41:16.963381+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69136505
2025-12-11T04:27:16.998075+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136543
2025-12-11T04:27:17.000741+00:00,USD/JPY,m1,OPEN,S,155.78699999999998,202512110425,SELL signal
2025-12-11T04:27:17.008330+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136543
2025-12-11T05:05:16.483639+00:00,EUR/USD,m1,OPEN,S,1.16917,202512110503,SELL signal
2025-12-11T06:46:11.261317+00:00,GBP/USD,m1,OPEN,S,1.33662,202512110644,SELL signal
2025-12-11T06:56:11.375557+00:00,USD/JPY,m1,OPEN,B,155.982,202512110654,BUY signal
