,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,ema_200,ema_100,ema_80,peaks_min,peaks_max,median_max,median_min,channel_width_pips,channel_breakout_up,channel_breakout_down,signal,valid_signal
11,202509261320,1.39377,1.39364,1.39369,1.39374,133,m1,1.3935788657167116,1.3935956211913965,1.3936032770525495,0,0,1.3935788657167116,1.3936032770525495,0.2,1,0,1,1
12,202509261321,1.39384,1.39369,1.39381,1.39369,193,m1,1.3935811655603265,1.3935998663163192,1.393608381322857,0,0,1.3935811655603265,1.393608381322857,0.3,1,0,1,1
13,202509261322,1.39382,1.3937,1.39373,1.39381,192,m1,1.393582646500025,1.3936024432209466,1.393611384253157,0,0,1.393582646500025,1.393611384253157,0.3,1,0,1,1
14,202509261323,1.39396,1.39373,1.39391,1.39373,319,m1,1.393585903748781,1.3936085334541952,1.3936187574814742,0,0,1.393585903748781,1.3936187574814742,0.3,1,0,1,1
15,202509261324,1.39407,1.39385,1.39401,1.39391,273,m1,1.3935901236119772,1.3936164832867852,1.3936284177905736,0,0,1.3935901236119772,1.3936284177905736,0.4,1,0,1,1
16,202509261325,1.39407,1.39391,1.39404,1.39401,289,m1,1.3935945999939476,1.393624869756354,1.393638580314263,0,0,1.3935945999939476,1.393638580314263,0.4,1,0,1,1
17,202509261326,1.39419,1.394,1.39419,1.39404,241,m1,1.3936005243721172,1.3936360604542481,1.3936521956151453,0,0,1.3936005243721172,1.3936521956151453,0.5,1,0,1,1
18,202509261327,1.39423,1.39412,1.39418,1.39419,210,m1,1.393606290298763,1.393646831534362,1.3936652278221786,0,0,1.393606290298763,1.3936652278221786,0.6,1,0,1,1
19,202509261328,1.39419,1.3940299999999999,1.39406,1.39418,223,m1,1.3936108048231535,1.3936550130881369,1.3936749752833593,0,0,1.3936108048231535,1.3936749752833593,0.6,1,0,1,1
20,202509261329,1.39413,1.39393,1.39395,1.39406,338,m1,1.39361417989954,1.3936608544131244,1.3936817660171035,0,0,1.39361417989954,1.3936817660171035,0.7,1,0,1,1
21,202509261330,1.39412,1.39395,1.39409,1.39395,400,m1,1.3936189144279028,1.393669352345538,1.393691845868533,0,0,1.3936189144279028,1.393691845868533,0.7,1,0,1,1
22,202509261331,1.39421,1.39395,1.39396,1.39409,292,m1,1.3936223083141925,1.393675107744636,1.3936984669581989,0,0,1.3936223083141925,1.3936984669581989,0.8,1,0,1,1
23,202509261332,1.39412,1.39391,1.39396,1.39396,415,m1,1.3936256684304693,1.3936807491754353,1.3937049245641693,0,0,1.3936256684304693,1.3937049245641693,0.8,1,0,1,1
24,202509261333,1.39397,1.39374,1.39374,1.39396,320,m1,1.393626806058027,1.39368192245909,1.3937057906243133,0,0,1.393626806058027,1.3937057906243133,0.8,1,0,1,1
25,202509261334,1.39375,1.39351,1.39362,1.39374,333,m1,1.3936267383360568,1.3936806962717811,1.3937036723372933,0,0,1.3936267383360568,1.3937036723372933,0.8,0,1,-1,-1
26,202509261335,1.39362,1.3931499999999999,1.39336,1.39362,548,m1,1.3936240842232601,1.3936743458505578,1.39369518660057,1,0,1.3936240842232601,1.39369518660057,0.7,0,1,-1,-1
27,202509261336,1.39375,1.39333,1.39373,1.39336,345,m1,1.393625138111586,1.393675447912923,1.3936960461906795,0,0,1.393625138111586,1.3936960461906795,0.7,1,0,1,1
28,202509261337,1.39388,1.39373,1.39381,1.39373,228,m1,1.3936269775333614,1.3936781123106867,1.3936988598649838,0,0,1.3936269775333614,1.3936988598649838,0.7,1,0,1,1
29,202509261338,1.39413,1.39381,1.39413,1.39381,398,m1,1.3936319827320345,1.3936870605817622,1.3937095053004163,0,0,1.3936319827320345,1.3937095053004163,0.8,1,0,1,1
30,202509261339,1.39413,1.39372,1.39388,1.39413,409,m1,1.3936344505655465,1.3936908811643016,1.393713715046085,0,0,1.3936344505655465,1.393713715046085,0.8,1,0,1,1
31,202509261340,1.39389,1.39364,1.39377,1.39388,457,m1,1.3936357993161381,1.3936924478739192,1.3937151047980336,0,0,1.3936357993161381,1.3937151047980336,0.8,1,0,1,1
32,202509261341,1.39386,1.39352,1.39378,1.39377,452,m1,1.3936372341488135,1.3936941815793862,1.3937167071486996,0,0,1.3936372341488135,1.3937167071486996,0.8,1,0,1,1
33,202509261342,1.39382,1.39365,1.39379,1.39378,343,m1,1.3936387542070343,1.3936960789738537,1.3937185168487318,0,0,1.3936387542070343,1.3937185168487318,0.8,1,0,1,1
34,202509261343,1.39381,1.39364,1.39375,1.39379,280,m1,1.3936398611303473,1.393697146716946,1.3937192942104917,0,0,1.3936398611303473,1.3937192942104917,0.8,1,0,1,1
35,202509261344,1.39383,1.39371,1.39375,1.39375,269,m1,1.393640957039498,1.3936981933166104,1.393720052378134,0,0,1.393640957039498,1.393720052378134,0.8,1,0,1,1
36,202509261345,1.39404,1.39375,1.3940299999999999,1.39375,431,m1,1.393644828113732,1.3937047637459843,1.3937277054058341,0,0,1.393644828113732,1.3937277054058341,0.8,1,0,1,1
37,202509261346,1.3940299999999999,1.3938,1.39381,1.3940299999999999,405,m1,1.3936464716150878,1.3937068476322023,1.3937297373711222,0,0,1.3936464716150878,1.3937297373711222,0.8,1,0,1,1
38,202509261347,1.39395,1.3937,1.39372,1.39381,396,m1,1.3936472032408085,1.3937071080751289,1.3937294969422056,0,0,1.3936472032408085,1.3937294969422056,0.8,1,1,1,1
39,202509261348,1.39381,1.3936,1.39373,1.39372,330,m1,1.3936480270891587,1.3937075613805718,1.3937295093633857,0,0,1.3936480270891587,1.3937295093633857,0.8,1,0,1,1
40,202509261349,1.39419,1.3937,1.39419,1.39373,320,m1,1.3936534198544406,1.3937171146205605,1.3937408795025612,0,0,1.3936534198544406,1.3937408795025612,0.9,1,0,1,1
41,202509261350,1.39422,1.39374,1.39388,1.39419,466,m1,1.3936556743832522,1.3937203400736187,1.3937443145765722,0,0,1.3936556743832522,1.3937443145765722,0.9,1,0,1,1
42,202509261351,1.39405,1.39375,1.39384,1.39388,292,m1,1.393657508468991,1.3937227095771112,1.3937466771796199,0,0,1.393657508468991,1.3937466771796199,0.9,1,0,1,1
43,202509261352,1.3939,1.3938,1.39383,1.39384,217,m1,1.3936592248026332,1.3937248341399406,1.3937487345332096,0,0,1.3936592248026332,1.3937487345332096,0.9,1,0,1,1
44,202509261353,1.39384,1.39365,1.39366,1.39383,198,m1,1.3936592325160397,1.3937235502955854,1.393746543557081,0,0,1.3936592325160397,1.393746543557081,0.9,1,1,1,1
45,202509261354,1.39366,1.39351,1.39358,1.39366,334,m1,1.3936584441327957,1.3937207077154747,1.3937424313704865,0,0,1.3936584441327957,1.3937424313704865,0.8,0,1,-1,-1
46,202509261355,1.39414,1.39354,1.39406,1.39358,283,m1,1.393662439713564,1.3937274263745743,1.3937502725712152,0,0,1.393662439713564,1.3937502725712152,0.9,1,0,1,1
