,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,ema_200,ema_100,ema_80,peaks_min,peaks_max,median_max,median_min,channel_width_pips,channel_breakout_up,channel_breakout_down,signal,valid_signal
3359,202509302139,0.66118,0.66104,0.66105,0.66113,54,m1,0.6613231494666993,0.6611929200718161,0.6611606339589834,0,0,0.6613231494666993,0.6611606339589834,1.6,0,1,-1,-1
3360,202509302140,0.66111,0.66091,0.66103,0.66105,475,m1,0.661320232556583,0.6611896939317801,0.661157408429132,0,0,0.661320232556583,0.661157408429132,1.6,0,1,-1,-1
3361,202509302141,0.66115,0.66086,0.66098,0.66103,905,m1,0.66131684715801,0.6611855415766953,0.6611530279740917,0,0,0.66131684715801,0.6611530279740917,1.6,0,1,-1,-1
3362,202509302142,0.66116,0.66097,0.66106,0.66098,1091,m1,0.6613142914648955,0.6611830556048796,0.6611507309870771,0,0,0.6613142914648955,0.6611507309870771,1.6,0,1,-1,-1
3363,202509302143,0.66112,0.66101,0.66111,0.66106,543,m1,0.661312258714001,0.6611816089592384,0.6611497252836925,0,0,0.661312258714001,0.6611497252836925,1.6,0,1,-1,-1
3364,202509302144,0.6611899999999999,0.66105,0.66118,0.66111,131,m1,0.6613109427068966,0.6611815770986594,0.661150472807552,0,0,0.6613109427068966,0.661150472807552,1.6,0,0,0,0
3365,202509302145,0.66118,0.6610199999999999,0.6610199999999999,0.66118,19,m1,0.6613080477545893,0.6611783775521514,0.6611472512567482,0,0,0.6613080477545893,0.6611472512567482,1.6,0,1,-1,-1
3366,202509302146,0.66103,0.66101,0.6610199999999999,0.6610199999999999,9,m1,0.6613051816077775,0.6611752413629999,0.6611441092504088,0,0,0.6613051816077775,0.6611441092504088,1.6,0,1,-1,-1
3367,202509302147,0.6610199999999999,0.6610199999999999,0.6610199999999999,0.6610199999999999,3,m1,0.6613023439798394,0.6611721672766039,0.6611410448244728,0,0,0.6613023439798394,0.6611410448244728,1.6,0,1,-1,-1
3368,202509302149,0.6610199999999999,0.661,0.661,0.6610199999999999,6,m1,0.6612993355820301,0.6611687580236019,0.6611375622362142,0,0,0.6612993355820301,0.6611375622362142,1.6,0,1,-1,-1
3369,202509302150,0.66101,0.66099,0.66099,0.661,16,m1,0.6612962576160398,0.6611652182607582,0.6611339187242089,0,0,0.6612962576160398,0.6611339187242089,1.6,0,1,-1,-1
3370,202509302151,0.66101,0.66099,0.66101,0.66099,9,m1,0.6612934092815519,0.6611621446318323,0.6611308590026235,0,0,0.6612934092815519,0.6611308590026235,1.6,0,1,-1,-1
3371,202509302152,0.66101,0.66101,0.66101,0.66101,4,m1,0.6612905892887007,0.6611591318668456,0.6611278748297192,0,0,0.6612905892887007,0.6611278748297192,1.6,0,1,-1,-1
3372,202509302153,0.6610199999999999,0.66101,0.6610199999999999,0.66101,1,m1,0.6612878968579674,0.6611563767803734,0.6611252112536768,0,0,0.6612878968579674,0.6611252112536768,1.6,0,1,-1,-1
3373,202509302154,0.66104,0.6610199999999999,0.66103,0.6610199999999999,3,m1,0.6612853307200772,0.6611538742698709,0.6611228603585243,0,0,0.6612853307200772,0.6611228603585243,1.6,0,1,-1,-1
3374,202509302155,0.66105,0.6610199999999999,0.66103,0.66103,13,m1,0.6612827901158974,0.6611514213140318,0.6611205675101657,0,0,0.6612827901158974,0.6611205675101657,1.6,0,1,-1,-1
3375,202509302156,0.66103,0.661,0.66101,0.66103,9,m1,0.661280075786386,0.6611486208919718,0.6611178374481863,0,0,0.661280075786386,0.6611178374481863,1.6,0,1,-1,-1
3376,202509302157,0.66104,0.66101,0.66104,0.66101,17,m1,0.6612776869725911,0.6611464699832198,0.6611159155358854,0,0,0.6612776869725911,0.6611159155358854,1.6,0,1,-1,-1
3377,202509302158,0.66109,0.66104,0.66108,0.66104,10,m1,0.6612757199380381,0.6611451537459283,0.6611150287325303,0,0,0.6612757199380381,0.6611150287325303,1.6,0,1,-1,-1
3378,202509302159,0.66108,0.66105,0.66105,0.66108,18,m1,0.6612734739685054,0.6611432695133357,0.6611134230848135,0,0,0.6612734739685054,0.6611134230848135,1.6,0,1,-1,-1
3379,202509302200,0.6614599999999999,0.66103,0.66129,0.66105,232,m1,0.6612736384066298,0.661146175067527,0.6611177830086452,0,0,0.6612736384066298,0.6611177830086452,1.6,1,0,1,1
3380,202509302201,0.66143,0.6612399999999999,0.66136,0.66129,156,m1,0.6612744977259668,0.6611504092246057,0.6611237636750984,0,0,0.6612744977259668,0.6611237636750984,1.5,1,0,1,1
3381,202509302202,0.66148,0.66135,0.66148,0.66136,71,m1,0.6612765425247135,0.6611569357746134,0.661132559633738,0,0,0.6612765425247135,0.661132559633738,1.4,1,0,1,1
3382,202509302203,0.66155,0.66145,0.66153,0.66148,43,m1,0.6612790644896417,0.661164323185017,0.6611423729761148,0,1,0.6612790644896417,0.6611423729761148,1.4,1,0,1,1
3383,202509302204,0.66153,0.66143,0.66143,0.66153,38,m1,0.6612805663355159,0.6611695841120464,0.6611494748779391,0,0,0.6612805663355159,0.6611494748779391,1.3,1,0,1,1
3384,202509302205,0.66143,0.6614099999999999,0.66142,0.66143,3,m1,0.6612819537351625,0.6611745428425009,0.6611561545105825,0,0,0.6612819537351625,0.6611561545105825,1.3,1,0,1,1
3385,202509302206,0.66142,0.66139,0.66139,0.66142,11,m1,0.6612830288223749,0.6611788093208671,0.6611619284732841,0,0,0.6612830288223749,0.6611619284732841,1.2,1,0,1,1
3386,202509302207,0.66142,0.66139,0.6614099999999999,0.66139,16,m1,0.6612842922171771,0.6611833873541173,0.6611680536961659,0,0,0.6612842922171771,0.6611680536961659,1.2,1,0,1,1
3387,202509302208,0.66142,0.66138,0.66142,0.6614099999999999,15,m1,0.6612856425433743,0.6611880727530456,0.6611742745925568,0,0,0.6612856425433743,0.6611742745925568,1.1,1,0,1,1
3388,202509302209,0.66142,0.6614099999999999,0.6614099999999999,0.66142,13,m1,0.6612868799310025,0.6611924673519951,0.6611800949729875,0,0,0.6612868799310025,0.6611800949729875,1.1,1,0,1,1
